title,genres,releaseYear,imdbAverageRating,imdbNumVotes
Homeland,"Comedy, Drama",2013,6.2,721
Mekhong Full Moon Party,"Comedy, Drama",2002,7.3,354
Lost and Found,Drama,2005,5.4,170
The Mole Song: Undercover Agent Reiji,"Action, Comedy, Crime",2013,6.5,1117
The Outsider,"Crime, Drama, Thriller",2018,6.3,30703
Flu,"Action, Crime, Drama",2013,6.6,15359
Regina,Drama,2012,6.6,7
Draft Day,"Drama, Sport",2014,6.8,70967
Jail Breakers,Comedy,2002,6.2,454
"Love, Rosie","Comedy, Romance",2014,7.1,163121
Behind the Mask,Drama,1958,6.1,347
Fonzy,Comedy,2013,5.3,674
Plum Blossom,"Drama, Romance",2000,5.9,363
Blackhat,"Action, Crime, Thriller",2015,5.5,66162
Blue Exorcist: The Movie,"Action, Adventure, Animation",2012,7.1,2675
Late Bloomers,"Comedy, Drama, Romance",1996,5.9,628
Life of a King,Drama,2013,6.9,8894
Storia di fifa e di coltello - Er seguito d'er più,Comedy,1972,5.6,112
Nightmare in Columbia County,"Crime, Drama, Thriller",1991,5.7,429
Of Good Report,"Crime, Drama, Thriller",2013,6.3,373
I Am Happiness on Earth,Drama,2014,4.5,1165
Coral Reef 3D: Magic of the Indo Pacific,Documentary,2013,8,12
5 cm,"Adventure, Drama, Romance",2012,7.2,2756
My Mom Is a Character,Comedy,2013,6.9,6448
Der Wadenmesser,Documentary,2005,5.8,41
The High Command,"Crime, Drama, War",1937,6,212
Quiet Victory: The Charlie Wedemeyer Story,Drama,1988,6.8,191
Marighella,"Biography, Documentary",2012,4.7,3496
The Man from U.N.C.L.E.,"Action, Adventure, Comedy",2015,7.2,348032
The Bespoke Overcoat,"Drama, Fantasy, Short",1955,7.1,540
Homefront,"Action, Crime, Thriller",2013,6.5,136964
Killer Toon,"Horror, Thriller",2013,6.2,2376
HK: Forbidden Super Hero,"Action, Comedy, Fantasy",2013,5.8,2864
La Once,Documentary,2014,7.5,610
Cold Eyes,"Action, Crime, Thriller",2013,7.1,8887
You Are Always in My Mind,"Comedy, Musical",1969,5.4,75
Belle & Sebastian,"Adventure, Drama, Family",2013,6.9,5864
Grand départ,"Comedy, Drama",2013,5.6,175
Midsummer's Equation,Mystery,2013,6.6,1282
Candlelight in Algeria,"Drama, Mystery, War",1943,6.2,532
Anything for Alice,"Comedy, Romance",2014,5.4,574
Hunting Elephants,"Comedy, Crime, Drama",2013,6.3,1218
La visa loca,Comedy,2005,6.6,101
Before I Go to Sleep,"Drama, Mystery, Thriller",2014,6.3,87196
Four Sisters and a Wedding,"Comedy, Drama",2013,7.3,1146
Amrapali,"Fantasy, History",1966,6.6,307
Philomena,"Biography, Comedy, Drama",2013,7.6,105819
Sharknado,"Action, Adventure, Comedy",2013,3.3,54898
Défense de savoir,"Crime, Drama, Thriller",1973,5.7,199
Gods of Egypt,"Action, Adventure, Drama",2016,5.4,131387
The Judge,"Crime, Drama, Mystery",2014,7.4,214131
The Imitation Game,"Biography, Drama, Thriller",2014,8,855385
In the Heart of the Sea,"Action, Adventure, Biography",2015,6.9,155489
Boomerang,"Crime, Drama",1976,6.2,790
Man at the Top,Drama,1973,5.2,219
The Last Five Years,"Comedy, Drama, Musical",2014,5.9,11067
Boundary,Documentary,2013,7.4,31
Chinese Puzzle,"Comedy, Drama, Romance",2013,6.9,15590
Predestination,"Action, Drama, Sci-Fi",2014,7.4,323354
I'll Sell My Skin Dearly,Western,1968,5.5,383
Lazzarella,"Comedy, Drama, Musical",1957,5.9,141
Les galets d'Étretat,"Drama, Romance, Thriller",1972,4.9,102
Monsieur Robinson Crusoe,Comedy,1960,3.5,74
Angeli senza paradiso,"Drama, History, Music",1970,5.2,125
The Loves of Joanna Godden,"Drama, Romance",1947,6.7,227
Kingsman: The Secret Service,"Action, Adventure, Comedy",2014,7.7,755033
Chi è senza peccato....,"Drama, Romance",1952,6,181
I Spit on Your Grave 2,"Horror, Thriller",2013,5.7,34853
Inferno,"Action, Adventure, Crime",2016,6.2,196747
The Conmen in Vegas,Comedy,1999,5.5,623
"Not Now, Comrade",Comedy,1976,5,238
"Oro, Plata, Mata","Drama, War",1982,7.7,711
A Triumph of the Heart: The Ricky Bell Story,"Biography, Drama, Sport",1991,7.2,295
Strawberry Night,"Crime, Thriller",2013,6.3,313
Salt & Gold,"Adventure, Comedy, Family",1983,6.8,500
Bonnie Prince Charlie,"Biography, Drama, History",1948,5.2,348
Neapolitan Boy in New York,"Drama, Musical, Romance",1984,5.3,90
Save the Children,"Documentary, Music",1973,7.1,146
All for Love,"Comedy, Drama, Romance",2005,6.7,337
Mezzanotte d'amore,"Musical, Romance",1970,5.3,62
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",2016,6.5,772860
The Grand Seduction,Comedy,2013,7,20407
Lucia,"Drama, Mystery",1998,7.1,70
Dampfnudelblues,"Comedy, Crime",2013,6.9,3118
The Art of the Steal,"Comedy, Crime, Thriller",2013,6.3,26756
The Love Punch,"Comedy, Romance",2013,5.7,16467
Felony,"Crime, Drama, Mystery",2013,6.1,6105
The Divided Heart,Drama,1954,6.9,332
Land of Cards,Fantasy,2012,5.5,448
A Stoning in Fulham County,"Crime, Drama, Thriller",1988,5.9,495
Rikidozan: A Hero Extraordinary,"Biography, Drama, Sport",2004,6.7,342
Leftenan Adnan,"Action, Biography, Drama",2000,6.8,195
Bad Words,"Comedy, Drama",2013,6.6,56872
The Right Kind of Wrong,"Comedy, Romance",2013,6.1,10195
Senario Lagi,"Adventure, Comedy, Family",2000,7.3,134
The Terror Live,"Action, Crime, Drama",2013,7.1,8507
Cold Comes the Night,"Action, Crime, Mystery",2013,5.7,10420
Cracked Eggs and Noodles,"Comedy, Drama",2005,5.7,118
Locke,Drama,2013,7.1,164864
SDU: Sex Duties Unit,"Action, Comedy",2013,5.8,586
Se lo scopre Gargiulo,"Comedy, Crime",1988,6,101
Mortdecai,"Action, Adventure, Comedy",2015,5.5,78705
Grean Fictions,"Comedy, Drama",2013,6.9,185
To and from New York,"Drama, Romance",2006,6.1,57
Radio Parade of 1935,"Comedy, Musical",1934,5.9,171
Only a Mother,Drama,1949,6.8,234
Lullaby,Documentary,2010,6.5,26
Minions,"Adventure, Animation, Comedy",2015,6.4,274226
"Keep Your Seats, Please!","Comedy, Musical",1936,6.1,292
Go Go Mania,"Documentary, Music",1965,6.3,480
Hunter X Hunter: Phantom Rouge,"Action, Adventure, Animation",2013,6.5,3639
Instructions Not Included,"Comedy, Drama",2013,7.5,33699
Tim's Vermeer,"Documentary, History",2013,7.8,8715
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,"Animation, Drama, Fantasy",2013,7.8,4526
Midshipman Easy,Adventure,1935,5.5,227
Se non avessi più te,"Comedy, Drama, Musical",1965,5.7,88
For All the Gold in the World,"Comedy, Musical",1968,5.1,105
Il suo nome è Donna Rosa,"Comedy, Musical, Romance",1969,4.9,83
Fotoromanzo,"Comedy, Drama, Musical",1986,4.9,77
Enzo Avitabile Music Life,Documentary,2012,6.6,138
Penny Paradise,"Comedy, Musical",1938,6.2,251
Rhymes for Young Ghouls,"Crime, Drama",2013,6.5,1537
Chef,"Adventure, Comedy, Drama",2014,7.3,243040
Perdono,"Comedy, Drama, Musical",1966,5.4,63
The Powerpuff Girls: 'Twas the Fight Before Christmas,"Action, Adventure, Animation",2003,7.1,731
Masterminds,"Biography, Comedy, Crime",2015,5.8,63573
Un week-end sur deux,Drama,1990,5.7,253
Words and Pictures,"Comedy, Drama, Romance",2013,6.6,11789
The Armstrong Lie,"Biography, Documentary, Sport",2013,7.2,8187
Hide and Seek,"Horror, Mystery, Thriller",2013,6.3,2517
Cine Holliúdy,"Comedy, Family, Romance",2012,6.9,1269
Sincerely Charlotte,"Drama, Romance, Thriller",1985,5.2,237
Zone Pro Site: The Moveable Feast,Comedy,2013,6.5,713
Ted 2,Comedy,2015,6.3,248977
Hwayi: A Monster Boy,"Action, Thriller",2013,7,5718
I Don't Know Whether to Slit My Wrists or Leave Them Long,"Comedy, Drama",2013,6.9,1977
By the River,Drama,2013,6,28
Madras Cafe,"Action, Drama, Thriller",2013,7.6,25973
Barcelona Summer Night,"Comedy, Drama, Romance",2013,6.2,1469
The Amazing Catfish,"Comedy, Drama",2013,7,2181
Fifty Shades of Grey,"Drama, Romance, Thriller",2015,4.2,347399
Ghost Child,Horror,2013,4.9,150
Into the Storm,"Action, Adventure, Drama",2014,5.8,73283
Giraffada,Drama,2013,6.3,316
Paradise,"Comedy, Drama, Romance",2013,6.3,762
Mike Birbiglia: My Girlfriend's Boyfriend,Comedy,2013,7.9,3809
Vinyl Days,"Comedy, Music, Romance",2012,6.8,1256
Sohni Mahiwal,"Action, Drama, Romance",1984,6.1,442
A Real Life,"Crime, Drama, Romance",2009,6.1,201
Markova: Comfort Gay,"Biography, Drama, History",2000,7,236
Satyagraha,Drama,2013,5.9,5492
"Hope God Loves You, Mom","Adventure, Drama, Fantasy",2013,7.2,51
La tahzan,"Drama, Romance",2013,6.5,101
Cinta Brontosaurus,"Comedy, Drama, Romance",2013,6,473
KL Gangster 2,"Action, Crime, Thriller",2013,5.6,367
Spray of the Days,"Comedy, Drama, Romance",1968,5.3,208
A Moment of Romance II,"Action, Crime, Romance",1993,6.1,326
Trailer Park Boys: Xmas Special,Comedy,2004,8,4098
One Who Set Forth: Wim Wenders' Early Years,Documentary,2007,7,157
Let's Calm Down and Drink Fresh in Saint-Tropez,Comedy,1987,3.6,382
Spare,"Action, Thriller",2008,5.7,22
Chhota Bheem aur Krishna: Mayanagari,"Action, Adventure, Animation",2011,7.3,339
The Letters,Drama,2014,6.2,1137
Coboy Junior: The Movie,"Drama, Family, Musical",2013,4,200
Refrain,"Drama, Romance",2013,6,176
Ummah - Unter Freunden,"Comedy, Drama",2013,6.4,853
Doraemon: Nobita's Secret Gadget Museum,"Action, Adventure, Animation",2013,7,1532
Freaks of Nature,"Comedy, Horror, Sci-Fi",2015,5.9,13967
Rock and Roll's Greatest Failure: Otway the Movie,Documentary,2013,7.6,601
Manusia Setengah Salmon,"Comedy, Romance",2013,5.7,191
Elvira,Drama,2013,6.2,57
Eyjafjallajökull,Comedy,2013,5.6,4543
Pulling Strings,"Comedy, Romance",2013,6.1,2056
Hur många kramar finns det i världen?,"Comedy, Drama",2013,4.9,618
A Coleção Invisível,Drama,2012,7,189
The Face Reader,"Action, Drama, History",2013,6.8,3070
Grand Piano,"Drama, Music, Mystery",2013,5.9,20116
The Midas Touch,Comedy,2013,4.9,217
Ismael,Drama,2013,6.3,1203
London Fields,"Crime, Mystery, Thriller",2018,3.9,12741
When We Were Boys,"Comedy, Drama, Romance",2013,6.3,435
The Stolen Years,Romance,2013,6.2,1369
The Wedding Diary,Comedy,2012,6.5,91
Detective Downs,"Comedy, Crime, Drama",2013,5.3,595
A Place Nearby,Drama,2000,6.1,300
The Spy: Undercover Operation,"Action, Comedy",2013,,
The Extra Day,"Comedy, Drama",1956,5.7,192
Rurouni Kenshin Part II: Kyoto Inferno,"Action, Adventure, Drama",2014,7.5,19279
Rurouni Kenshin: The Legend Ends,"Action, Adventure, Drama",2014,7.5,15484
Las maestras de la República,"Documentary, History",2013,6.2,136
The Fashioned in Saint-Tropez,Comedy,1983,3.9,373
Wer,"Action, Horror, Mystery",2013,5.9,10371
About Last Night,"Comedy, Romance",2014,6,25592
Aloha,"Comedy, Drama, Romance",2015,5.4,76139
While the Door Was Locked,Drama,1946,7,266
The White Cat,"Drama, Mystery",1950,6.2,190
Time and the Wind,"Drama, Romance, War",2013,6.7,955
Ghadi,"Comedy, Drama, Family",2013,7.3,1258
Connecting Rooms,Drama,1970,6.4,962
Sausage Party,"Adventure, Animation, Comedy",2016,6.1,220138
Barber's Tales,Drama,2013,7.7,314
Attarintiki Daredi,"Action, Comedy, Drama",2013,7.3,10262
The Clerics,"Action, Biography, Drama",2013,6.9,198
Head in the Clouds,Drama,2012,7,82
"Honey, Scare Me",Comedy,1958,4.4,53
Non-Stop,"Action, Mystery, Thriller",2014,6.9,282585
Macbeth,"Drama, History, War",2015,6.6,60801
Sex Tape,"Comedy, Romance",2014,5.1,121043
L'addition,"Drama, Thriller",1984,5.7,318
Michael,"Drama, Thriller",2011,5.2,1171
Life Feels Good,Drama,2013,7.6,3362
Blind Intersections,Drama,2012,6.5,208
Tammy,"Comedy, Romance",2014,4.9,56158
The Mysterious Boy,"Adventure, Family, Mystery",2013,6.3,416
The Little Penguin Pororo's Racing Adventure,"Animation, Family, Sport",2013,5.2,272
The Closed Circuit,"Action, Crime, Drama",2013,6.8,1746
Rita the Mosquito,"Comedy, Musical, Romance",1966,5.5,190
Endless Love,"Drama, Mystery, Romance",2014,6.2,48568
Ramayya Vastavayya,"Action, Comedy, Drama",2013,5.1,2484
Ivan the Powerful,Adventure,2013,7.4,423
The Giver,"Drama, Romance, Sci-Fi",2014,6.4,128711
Horrible Bosses 2,"Comedy, Crime",2014,6.3,189936
Barbie & Her Sisters in a Pony Tale,"Animation, Family",2013,6.1,1621
Unbroken,"Biography, Drama, Sport",2014,7.2,191264
Tough as Iron,"Action, Drama, Family",2013,6,361
Tattoo,Drama,2013,7.2,2281
The Nut Job,"Adventure, Animation, Comedy",2014,5.7,31403
A Esperança é a Última que Morre,Comedy,2015,4.8,139
Men Are from Mars... And That's Where I'm Going!,"Comedy, Romance",2014,6.1,1362
Yogi,"Action, Drama",2007,4.6,997
Fury,"Action, Drama, War",2014,7.6,581439
Meus Dois Amores,Comedy,2012,5.6,58
Home,"Adventure, Animation, Comedy",2015,6.5,116872
The SpongeBob Movie: Sponge Out of Water,"Adventure, Animation, Comedy",2015,6,64822
Sister Dulce: The Angel from Brazil,"Biography, Drama",2014,7.1,303
Isolados,"Horror, Mystery, Thriller",2014,5.3,563
Till Luck Do Us Part 2,Comedy,2013,5,1711
Muita Calma Nessa Hora 2,Comedy,2014,4.9,436
Trust Me,Drama,2014,6.5,692
Meu Passado Me Condena: O Filme,"Comedy, Romance",2013,5.8,2573
Boss,"Action, Comedy, Drama",2013,5.1,12595
Viva la banda de Mozart,"Animation, Family",1997,,
Detective Conan: Private Eye in the Distant Sea,"Action, Adventure, Animation",2013,6.5,1804
The Interview,"Action, Adventure, Comedy",2014,6.5,367942
The Kiyosu Conference,"Comedy, History",2013,6.4,686
The Mighty Spirit,Documentary,1999,7.7,325
The Apology King,Comedy,2013,6.4,450
Magic in the Moonlight,"Comedy, Drama, Romance",2014,6.5,72433
Han Gong-ju,"Crime, Drama",2013,7.2,3028
Värmlänningarna,"Drama, Romance",1957,6,57
Love Is Not a Game,"Drama, Romance",1971,4.9,86
Assault and Battery,Drama,1969,6.3,124
She's the One,"Comedy, Drama, Romance",2013,6.3,286
Blood and Ties,"Drama, Thriller",2013,6.4,1582
Heidi,"Comedy, Drama, Family",2001,5.6,135
Aziz Ansari: Buried Alive,Comedy,2013,7.2,4190
Big Game,"Action, Adventure, Comedy",2014,5.4,36528
Mannenharten,"Comedy, Romance",2013,5.7,2342
Heavenly Shift,"Comedy, Drama",2013,7.4,3035
Longkai,"Action, Crime, Drama",2013,5.1,59
Louis & Luca and the Snow Machine,"Animation, Family",2013,6.8,2202
Sole a catinelle,Comedy,2013,6.4,7408
Tampan Tailor,Drama,2013,7.2,183
The Teckman Mystery,"Crime, Drama, Film-Noir",1954,6.2,613
Recycling Lily,Comedy,2013,6.3,111
1er amour,Drama,2013,5.8,271
Gimme Shelter,Drama,2013,6.4,9664
Tjoet Nja' Dhien,"Drama, War",1988,7.8,566
Handle Me with Care,"Drama, Fantasy, Romance",2008,7.1,111
Blended,"Comedy, Romance",2014,6.5,152480
The Holy Man III,Comedy,2010,5.4,64
Cowboys,"Comedy, Drama",2013,7,1141
Suck Me Shakespeer,Comedy,2013,6.9,33252
On fait comme on a dit,"Comedy, Crime",2000,4.7,119
Must Be... Love,"Comedy, Romance",2013,6.5,664
The Fade,"Comedy, Documentary, Drama",2012,5.9,29
Cold Harbour,"Action, Crime, Thriller",2013,5.1,237
This Is My Street,Drama,1964,6.5,273
The Shiralee,Drama,1957,6.6,436
Jazzgossen,"Drama, Music",1958,6.2,231
The Little Ghost,"Family, Fantasy",2013,5.6,705
Baxter!,Drama,1973,7,385
Addicted,"Drama, Romance, Thriller",2014,5,12809
The Holy Man,Comedy,2005,5.9,171
One Step Beyond: The True Story of Géraldine Fasnacht,Documentary,2012,7.8,55
Commitment,"Action, Drama",2013,6.7,5043
Madly in Love,"Comedy, Musical, Romance",2010,6.3,58
Bha Ji in Problem,Comedy,2013,7.1,1147
The Five,"Action, Crime, Thriller",2013,6.5,1028
Stay Away from Me,Comedy,2013,5.8,917
Let's Be Happy,"Comedy, Musical, Romance",1957,5.6,266
Rattle of a Simple Man,"Comedy, Drama",1964,6.7,345
Spanish Affair,"Comedy, Romance",2014,6.5,19202
Sally in Our Alley,"Comedy, Drama, Musical",1931,5.8,155
"Love, Life & Laughter","Comedy, Drama, Musical",1934,5.6,75
The Show Goes On,Musical,1937,6.1,76
Heaven Is for Real,"Biography, Drama, Family",2014,5.9,29446
Diaries of Letters to God,"Biography, Drama, History",2011,6.1,131
Highland Tower,"Horror, Documentary, Thriller",2013,,
Downside Up,Documentary,2013,,
Gori Tere Pyaar Mein!,"Comedy, Drama, Romance",2013,4.9,4288
Bosta,"Musical, War",2005,6.4,645
Mimi,"Drama, Romance",1935,5.1,128
Young Wives' Tale,"Comedy, Romance",1951,5.5,485
The 4 Movie,Horror,2011,5.4,68
Marriage Blue,"Comedy, Romance",2013,6.1,257
3 Peas in a Pod,Drama,2013,6.9,51
A Pelada,Comedy,2013,5.3,72
Maria Mariana,"Action, Drama, Romance",1996,6.3,46
Maria Mariana II,"Action, Crime, Romance",1998,6.5,39
Friend 2,"Action, Crime, Drama",2013,6.2,679
The Kindergarten,Comedy,2009,6.2,27
Hubert und Staller - Die ins Gras beißen,"Comedy, Crime",2013,7.1,207
Bitter Springs,"Adventure, Drama, History",1950,6.1,213
Underground Guerrillas,"Drama, War",1943,6.1,200
The Cobbler,"Comedy, Drama, Fantasy",2014,5.8,62954
Micky Flanagan: Back in the Game Live,"Comedy, Documentary",2013,7.7,507
Sean Lock: Purple Van Man,"Comedy, Documentary",2013,6.8,317
Why Bother to Knock!,Comedy,1961,5.1,268
"I Do, I Do","Comedy, Romance",2005,5.6,83
Yam yasothon 3,Comedy,2013,6.5,67
Self/less,"Action, Mystery, Sci-Fi",2015,6.5,106036
The Purge: Anarchy,"Action, Horror, Sci-Fi",2014,6.4,168487
Spy,"Action, Comedy",2015,7,268918
His Excellency,"Comedy, Romance",1952,5.5,122
Keep Fit,"Comedy, Musical",1937,5.8,210
Ilk Ask,Drama,2006,6.7,1904
It Happened in Paris,"Comedy, Romance",1935,5.5,165
Taxi! Taxi!,"Comedy, Drama",2013,6.1,93
Hunter x Hunter: The Last Mission,"Action, Adventure, Animation",2013,6.5,3107
The Single Moms Club,"Comedy, Drama",2014,5.5,7339
St. Vincent,"Comedy, Drama",2014,7.2,111280
The Best of Me,"Drama, Romance",2014,6.7,79581
Hienas,"Adventure, Comedy, Crime",2009,4.1,57
Stromberg - The Movie,Comedy,2014,7.3,8654
Heart to Heart,"Comedy, Drama",1979,6.5,157
Lucy,"Action, Sci-Fi, Thriller",2014,6.4,559341
Naan Sigappu Manithan,"Action, Crime, Drama",2014,6.5,1244
A Most Violent Year,"Crime, Drama, Thriller",2014,6.9,80032
Regression,"Crime, Drama, Mystery",2015,5.6,44029
The Outsider,Drama,1948,6.8,484
Run All Night,"Action, Crime, Thriller",2015,6.6,118220
Grazing the Sky,"Documentary, Drama",2013,6.8,134
Beyond the Lights,"Drama, Music, Romance",2014,6.8,18010
Never on the First Night,"Comedy, Romance",2014,4.7,864
The Bag Man,"Action, Crime, Drama",2014,5.2,17601
Satya 2,"Crime, Drama",2013,5.8,1084
The Trip to Italy,"Comedy, Drama",2014,6.6,16355
The Babadook,"Drama, Horror, Mystery",2014,6.8,261751
Tuscan Wedding,"Comedy, Drama, Romance",2014,5.1,2039
The Attorney,"Crime, Drama, History",2013,7.7,8162
The Suspect,"Action, Drama, Thriller",2013,6.8,7114
Way Back Home,Drama,2013,7.5,1541
Ouija,"Horror, Mystery, Thriller",2014,4.5,60267
Nightcrawler,"Crime, Drama, Thriller",2014,7.8,639754
Keep Watching,"Horror, Mystery, Thriller",2017,4.3,5111
A Complicated Story,Drama,2013,5.4,129
When Marnie Was There,"Animation, Drama, Family",2014,7.6,52164
"Io, mammeta e tu","Comedy, Romance",1958,6,81
Lisa dagli occhi blu,"Comedy, Musical",1969,4.7,93
The Bride and the Lover,"Comedy, Drama",2013,4.8,47
Where Hope Grows,"Drama, Family",2014,6.6,4648
Step Up All In,"Drama, Music, Romance",2014,5.9,36915
The Night We Got the Bird,Comedy,1961,5.3,120
Bo Burnham: what.,"Comedy, Music",2013,8.3,13386
I Know What You Did Last Raya,"Comedy, Horror, Mystery",2004,4.3,91
Jimi Asmara,"Drama, Musical, Romance",1995,7.6,34
Human Capital,"Crime, Drama",2013,7.2,13828
Firestorm,"Action, Crime, Thriller",2013,6.2,3129
Jai Ho,"Action, Drama",2014,5,21507
Twilight Women,"Crime, Drama, Romance",1952,6.5,231
Happy Christmas,"Comedy, Drama",2014,5.4,9116
The Hungover Games,"Adventure, Comedy, Fantasy",2014,3.5,17667
Gypsy Spirit: Harri Stojka - Eine Reise,"Documentary, Music",2010,7.4,35
The Captive,"Crime, Drama, Mystery",2014,5.9,36707
The Skeleton Twins,"Comedy, Drama, Romance",2014,6.8,46003
Song One,"Drama, Music, Romance",2014,5.8,10508
Orlie pierko,Adventure,1972,7.2,106
Febrayer Al Eswed,Comedy,2013,7.2,765
Lang Buana,"Action, Adventure, Comedy",2003,7.5,49
Pontianak Harum Sundal Malam,"Horror, Romance, Thriller",2004,5.9,199
My Failing Eyesight,"Drama, Family, Romance",2003,7.3,110
The Cracksman,"Comedy, Crime",1963,5.9,248
The King's Daughter,"Action, Adventure, Family",2022,5.2,6784
She's Funny That Way,"Comedy, Drama",2014,6.1,30062
Pele: Birth of a Legend,"Biography, Drama, Sport",2016,7.1,22210
"France, Incorporated","Comedy, Crime, Drama",1974,5.1,232
Black Sea,"Adventure, Drama, Thriller",2014,6.4,42394
Muzikanten voor het leven,Documentary,2007,,
Tusk,"Comedy, Horror",2014,5.4,68934
Een stukje blauw in de lucht,"Documentary, War",2007,7.5,30
Dügün Dernek,Comedy,2013,6.9,24784
What We Do in the Shadows,"Comedy, Horror",2014,7.6,208575
Shevernatze un ángel corrupto,Comedy,2007,6.4,42
Les passagers de la Grande Ourse,"Animation, Short",1943,6.3,163
Rectoverso,"Action, Drama, Romance",2013,7.3,259
El nino,"Action, Adventure, Crime",2014,6.4,6707
The Yellow Balloon,"Crime, Drama, Thriller",1953,6.9,562
Garuda di Dadaku 2,"Drama, Sport",2011,6.3,147
Queen,"Adventure, Comedy, Drama",2013,8.1,69970
Qué le dijiste a Dios?,"Comedy, Musical",2014,4,417
As the Light Goes Out,"Action, Drama",2014,6.2,1485
My Lady Boss,"Comedy, Drama, Romance",2013,6.4,122
Status: It's Complicated!,"Comedy, Romance",2013,5,64
Le crocodile du Botswanga,Comedy,2014,5.2,1728
Barely Lethal,"Action, Comedy",2015,5.4,24013
Bibi & Tina,Fantasy,2014,4.9,1025
Hitman: Agent 47,"Action, Adventure, Crime",2015,5.7,99322
Oh My Ghosts!,"Comedy, Fantasy, Horror",2009,4.8,334
Hor taew tak 4,Comedy,2012,4.9,101
Final Score,Documentary,2007,6.9,119
Wish,Drama,2009,6.8,180
Il console italiano,Drama,2011,5.5,69
Heaven's Seven,"Action, Comedy",2002,6.1,194
Seven Street Fighters,"Action, Comedy",2005,6,114
Concrete Clouds,Drama,2013,6.8,108
The End of the Tour,"Biography, Drama",2015,7.2,33686
Return of the Mafia,"Comedy, Crime",2012,4.9,152
The Diary of a Teenage Girl,"Comedy, Drama, Romance",2015,6.8,34573
I Can Quit Whenever I Want,"Comedy, Crime",2014,7,9982
"Mary Is Happy, Mary Is Happy","Comedy, Drama",2013,7,1100
Annabelle,"Horror, Mystery, Thriller",2014,5.5,185087
Creep,"Horror, Thriller",2014,6.3,76806
E-Team,"Documentary, War",2014,7.1,963
The Battered Bastards of Baseball,"Documentary, Sport",2014,8,4757
Finding Fela,"Biography, Documentary, History",2014,7.1,875
Mitt,"Biography, Documentary, Family",2014,6.8,2675
The Unmatchable Match,"Action, Crime, Drama",1990,6.2,443
Great Communist Bank Robbery,Documentary,2004,7,499
Formalin Man,"Comedy, Horror, Musical",2004,5.8,38
The Tin Mine,"Biography, Comedy, Drama",2005,8.1,838
What Love Means,"Comedy, Romance",2005,5.8,85
Blockbuster,"Comedy, Drama",2013,3.6,676
Hasee Toh Phasee,"Comedy, Romance",2014,6.8,17057
Heart Street,Romance,2014,6.3,2207
La mort de Belle,"Crime, Drama, Mystery",1961,6.8,307
Ça n'arrive qu'à moi,Comedy,1985,4.2,123
Hot Young Bloods,"Comedy, Drama, Romance",2014,6.7,2084
71,"Action, Crime, Drama",2014,7.2,63521
The Dream Maker,"Comedy, Music, Musical",1963,5.7,102
Entreatos,Documentary,2004,7.8,448
Kiki's Delivery Service,"Adventure, Comedy, Fantasy",2014,5.7,1072
Get Married If You Can,"Comedy, Romance",2014,5.7,1994
Black mic-mac 2,Comedy,1988,3.4,39
Landfall,"Drama, War",1949,6.6,268
While We're Young,"Comedy, Drama, Mystery",2014,6.3,54915
Present Perfect Continuous Tense,Drama,2013,4.9,26
Moms' Night Out,Comedy,2014,5.3,14736
A Man About the House,Drama,1947,6.3,314
In Order of Disappearance,"Action, Comedy, Crime",2014,7.1,30234
The Wedding Ringer,"Comedy, Romance",2015,6.6,82951
Highway,"Crime, Drama, Romance",2014,7.6,31856
Hello Yasothorn 2,"Comedy, Musical, Romance",2009,6.1,83
Bride for Rent,"Comedy, Romance",2014,6.3,720
Jailbait,"Crime, Drama, Romance",2014,4.3,5681
The Raven on the Jetty,"Drama, Family",2015,4.8,70
Miss Granny,"Comedy, Fantasy, Music",2014,7.2,4553
Maestros,Comedy,2000,6.6,58
10.000 Km,"Comedy, Drama, Romance",2014,6.6,5006
Print the Legend,"Biography, Documentary, Drama",2014,7,2074
Dear Eleanor,"Comedy, Drama, Family",2016,5.9,2123
Everest,"Adventure, Biography, Drama",2015,7.1,240963
Alive and Kicking,Comedy,1958,6.6,396
That Demon Within,"Action, Crime, Horror",2014,5.9,1584
Golden Chickensss,"Comedy, Drama",2014,5.6,531
San Andreas,"Action, Adventure, Thriller",2015,6.1,267980
Department Q: The Absent One,"Crime, Drama, Mystery",2014,7.1,27763
The Lobster,"Drama, Romance, Sci-Fi",2015,7.1,320131
Hector and the Search for Happiness,"Adventure, Comedy, Drama",2014,6.9,51553
The Boy in the Mirror,"Action, Adventure, Drama",2014,6,272
O Candidato Honesto,Comedy,2014,5.5,1338
Pitch Perfect 2,"Comedy, Music",2015,6.4,175809
The Midnight After,"Comedy, Mystery, Sci-Fi",2014,5.5,1847
As Canções,Documentary,2011,7.9,297
Torrente 5,"Action, Comedy",2014,5.4,4754
The November Man,"Action, Adventure, Crime",2014,6.3,72146
Babilônia 2000,Documentary,1999,7.9,280
Kami the Movie,"Crime, Drama, Musical",2008,6.4,77
The Forger,"Crime, Drama, Thriller",2014,5.8,13783
Hello Babies,"Comedy, Romance",2014,4.7,190
Anohana the Movie: The Flower We Saw That Day (Ano hi mita hana no namae wo bokutachi wa mada shiran,"Adventure, Animation, Drama",2013,7.3,2949
Starting Over Again,"Comedy, Drama, Romance",2014,6.9,672
Filhos de João: O Admirável Mundo Novo Baiano,Documentary,2009,7.4,112
